Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,143195,-,-,-,37.37,-122.02,-8,33,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky GHI,Clearsky DNI
2020,1,1,0,30,0,0,0
2020,1,1,1,30,0,0,0
2020,1,1,2,30,0,0,0
2020,1,1,3,30,0,0,0
2020,1,1,4,30,0,0,0
2020,1,1,5,30,0,0,0
2020,1,1,6,30,0,0,0
2020,1,1,7,30,9,11,99
2020,1,1,8,30,40,141,559
2020,1,1,9,30,55,290,732
2020,1,1,10,30,65,408,807
2020,1,1,11,30,72,479,842
2020,1,1,12,30,76,491,842
2020,1,1,13,30,75,444,815
2020,1,1,14,30,67,343,753
2020,1,1,15,30,54,202,621
2020,1,1,16,30,29,54,308
2020,1,1,17,30,0,0,0
2020,1,1,18,30,0,0,0
2020,1,1,19,30,0,0,0
2020,1,1,20,30,0,0,0
2020,1,1,21,30,0,0,0
2020,1,1,22,30,0,0,0
2020,1,1,23,30,0,0,0
2020,1,2,0,30,0,0,0
2020,1,2,1,30,0,0,0
2020,1,2,2,30,0,0,0
2020,1,2,3,30,0,0,0
2020,1,2,4,30,0,0,0
2020,1,2,5,30,0,0,0
2020,1,2,6,30,0,0,0
2020,1,2,7,30,10,12,117
2020,1,2,8,30,41,151,612
2020,1,2,9,30,54,306,783
2020,1,2,10,30,63,428,859
2020,1,2,11,30,66,499,895
2020,1,2,12,30,67,513,902
2020,1,2,13,30,65,465,879
2020,1,2,14,30,59,364,828
2020,1,2,15,30,49,218,704
2020,1,2,16,30,27,61,411
2020,1,2,17,30,0,0,0
2020,1,2,18,30,0,0,0
2020,1,2,19,30,0,0,0
2020,1,2,20,30,0,0,0
2020,1,2,21,30,0,0,0
2020,1,2,22,30,0,0,0
2020,1,2,23,30,0,0,0
2020,1,3,0,30,0,0,0
2020,1,3,1,30,0,0,0
2020,1,3,2,30,0,0,0
2020,1,3,3,30,0,0,0
2020,1,3,4,30,0,0,0
2020,1,3,5,30,0,0,0
2020,1,3,6,30,0,0,0
2020,1,3,7,30,11,13,128
2020,1,3,8,30,41,156,639
2020,1,3,9,30,55,314,806
2020,1,3,10,30,64,437,875
2020,1,3,11,30,69,511,910
2020,1,3,12,30,71,523,911
2020,1,3,13,30,69,472,882
2020,1,3,14,30,64,368,821
2020,1,3,15,30,52,221,694
2020,1,3,16,30,29,62,386
2020,1,3,17,30,0,0,0
2020,1,3,18,30,0,0,0
2020,1,3,19,30,0,0,0
2020,1,3,20,30,0,0,0
2020,1,3,21,30,0,0,0
2020,1,3,22,30,0,0,0
2020,1,3,23,30,0,0,0
2020,1,4,0,30,0,0,0
2020,1,4,1,30,0,0,0
2020,1,4,2,30,0,0,0
2020,1,4,3,30,0,0,0
2020,1,4,4,30,0,0,0
2020,1,4,5,30,0,0,0
2020,1,4,6,30,0,0,0
2020,1,4,7,30,10,11,75
2020,1,4,8,30,49,147,546
2020,1,4,9,30,66,305,742
2020,1,4,10,30,75,431,834
2020,1,4,11,30,75,505,883
2020,1,4,12,30,77,519,888
2020,1,4,13,30,75,470,861
2020,1,4,14,30,69,368,804
2020,1,4,15,30,56,222,676
2020,1,4,16,30,32,63,360
2020,1,4,17,30,0,0,0
2020,1,4,18,30,0,0,0
2020,1,4,19,30,0,0,0
2020,1,4,20,30,0,0,0
2020,1,4,21,30,0,0,0
2020,1,4,22,30,0,0,0
2020,1,4,23,30,0,0,0
2020,1,5,0,30,0,0,0
2020,1,5,1,30,0,0,0
2020,1,5,2,30,0,0,0
2020,1,5,3,30,0,0,0
2020,1,5,4,30,0,0,0
2020,1,5,5,30,0,0,0
2020,1,5,6,30,0,0,0
2020,1,5,7,30,10,12,114
2020,1,5,8,30,43,154,617
2020,1,5,9,30,56,310,787
2020,1,5,10,30,65,434,863
2020,1,5,11,30,69,506,895
2020,1,5,12,30,72,518,894
2020,1,5,13,30,71,468,863
2020,1,5,14,30,66,366,801
2020,1,5,15,30,54,221,672
2020,1,5,16,30,30,63,362
2020,1,5,17,30,0,0,0
2020,1,5,18,30,0,0,0
2020,1,5,19,30,0,0,0
2020,1,5,20,30,0,0,0
2020,1,5,21,30,0,0,0
2020,1,5,22,30,0,0,0
2020,1,5,23,30,0,0,0
2020,1,6,0,30,0,0,0
2020,1,6,1,30,0,0,0
2020,1,6,2,30,0,0,0
2020,1,6,3,30,0,0,0
2020,1,6,4,30,0,0,0
2020,1,6,5,30,0,0,0
2020,1,6,6,30,0,0,0
2020,1,6,7,30,11,13,130
2020,1,6,8,30,39,154,635
2020,1,6,9,30,52,311,801
2020,1,6,10,30,60,435,875
2020,1,6,11,30,63,506,905
2020,1,6,12,30,64,520,911
2020,1,6,13,30,62,474,891
2020,1,6,14,30,56,372,837
2020,1,6,15,30,47,228,722
2020,1,6,16,30,28,69,447
2020,1,6,17,30,0,0,0
2020,1,6,18,30,0,0,0
2020,1,6,19,30,0,0,0
2020,1,6,20,30,0,0,0
2020,1,6,21,30,0,0,0
2020,1,6,22,30,0,0,0
2020,1,6,23,30,0,0,0
2020,1,7,0,30,0,0,0
2020,1,7,1,30,0,0,0
2020,1,7,2,30,0,0,0
2020,1,7,3,30,0,0,0
2020,1,7,4,30,0,0,0
2020,1,7,5,30,0,0,0
2020,1,7,6,30,0,0,0
2020,1,7,7,30,9,10,65
2020,1,7,8,30,56,142,473
2020,1,7,9,30,81,299,672
2020,1,7,10,30,92,424,772
2020,1,7,11,30,98,499,817
2020,1,7,12,30,91,517,847
2020,1,7,13,30,79,476,853
2020,1,7,14,30,69,376,807
2020,1,7,15,30,55,230,691
2020,1,7,16,30,31,70,411
2020,1,7,17,30,0,0,0
2020,1,7,18,30,0,0,0
2020,1,7,19,30,0,0,0
2020,1,7,20,30,0,0,0
2020,1,7,21,30,0,0,0
2020,1,7,22,30,0,0,0
2020,1,7,23,30,0,0,0
2020,1,8,0,30,0,0,0
2020,1,8,1,30,0,0,0
2020,1,8,2,30,0,0,0
2020,1,8,3,30,0,0,0
2020,1,8,4,30,0,0,0
2020,1,8,5,30,0,0,0
2020,1,8,6,30,0,0,0
2020,1,8,7,30,10,11,78
2020,1,8,8,30,49,147,541
2020,1,8,9,30,68,302,719
2020,1,8,10,30,81,424,796
2020,1,8,11,30,81,499,849
2020,1,8,12,30,78,515,865
2020,1,8,13,30,73,470,849
2020,1,8,14,30,66,370,796
2020,1,8,15,30,54,227,676
2020,1,8,16,30,32,68,363
2020,1,8,17,30,0,0,0
2020,1,8,18,30,0,0,0
2020,1,8,19,30,0,0,0
2020,1,8,20,30,0,0,0
2020,1,8,21,30,0,0,0
2020,1,8,22,30,0,0,0
2020,1,8,23,30,0,0,0
2020,1,9,0,30,0,0,0
2020,1,9,1,30,0,0,0
2020,1,9,2,30,0,0,0
2020,1,9,3,30,0,0,0
2020,1,9,4,30,0,0,0
2020,1,9,5,30,0,0,0
2020,1,9,6,30,0,0,0
2020,1,9,7,30,10,12,97
2020,1,9,8,30,43,151,594
2020,1,9,9,30,55,311,784
2020,1,9,10,30,63,436,861
2020,1,9,11,30,74,510,882
2020,1,9,12,30,85,521,859
2020,1,9,13,30,88,474,822
2020,1,9,14,30,77,375,774
2020,1,9,15,30,61,233,663
2020,1,9,16,30,33,73,399
2020,1,9,17,30,0,0,0
2020,1,9,18,30,0,0,0
2020,1,9,19,30,0,0,0
2020,1,9,20,30,0,0,0
2020,1,9,21,30,0,0,0
2020,1,9,22,30,0,0,0
2020,1,9,23,30,0,0,0
2020,1,10,0,30,0,0,0
2020,1,10,1,30,0,0,0
2020,1,10,2,30,0,0,0
2020,1,10,3,30,0,0,0
2020,1,10,4,30,0,0,0
2020,1,10,5,30,0,0,0
2020,1,10,6,30,0,0,0
2020,1,10,7,30,10,12,99
2020,1,10,8,30,44,150,578
2020,1,10,9,30,61,309,759
2020,1,10,10,30,67,434,845
2020,1,10,11,30,72,509,881
2020,1,10,12,30,76,522,876
2020,1,10,13,30,74,475,848
2020,1,10,14,30,67,376,797
2020,1,10,15,30,54,234,686
2020,1,10,16,30,31,75,422
2020,1,10,17,30,0,0,0
2020,1,10,18,30,0,0,0
2020,1,10,19,30,0,0,0
2020,1,10,20,30,0,0,0
2020,1,10,21,30,0,0,0
2020,1,10,22,30,0,0,0
2020,1,10,23,30,0,0,0
2020,1,11,0,30,0,0,0
2020,1,11,1,30,0,0,0
2020,1,11,2,30,0,0,0
2020,1,11,3,30,0,0,0
2020,1,11,4,30,0,0,0
2020,1,11,5,30,0,0,0
2020,1,11,6,30,0,0,0
2020,1,11,7,30,11,12,64
2020,1,11,8,30,52,150,535
2020,1,11,9,30,66,310,742
2020,1,11,10,30,75,437,831
