Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,143195,-,-,-,37.37,-122.02,-8,33,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky GHI,Clearsky DNI
2005,1,1,0,30,0,0,0
2005,1,1,1,30,0,0,0
2005,1,1,2,30,0,0,0
2005,1,1,3,30,0,0,0
2005,1,1,4,30,0,0,0
2005,1,1,5,30,0,0,0
2005,1,1,6,30,0,0,0
2005,1,1,7,30,0,0,0
2005,1,1,8,30,51,146,528
2005,1,1,9,30,72,299,707
2005,1,1,10,30,71,427,838
2005,1,1,11,30,76,497,872
2005,1,1,12,30,76,509,878
2005,1,1,13,30,72,462,858
2005,1,1,14,30,66,358,794
2005,1,1,15,30,53,213,668
2005,1,1,16,30,27,56,354
2005,1,1,17,30,0,0,0
2005,1,1,18,30,0,0,0
2005,1,1,19,30,0,0,0
2005,1,1,20,30,0,0,0
2005,1,1,21,30,0,0,0
2005,1,1,22,30,0,0,0
2005,1,1,23,30,0,0,0
2005,1,2,0,30,0,0,0
2005,1,2,1,30,0,0,0
2005,1,2,2,30,0,0,0
2005,1,2,3,30,0,0,0
2005,1,2,4,30,0,0,0
2005,1,2,5,30,0,0,0
2005,1,2,6,30,0,0,0
2005,1,2,7,30,0,0,0
2005,1,2,8,30,51,141,499
2005,1,2,9,30,68,294,702
2005,1,2,10,30,95,405,729
2005,1,2,11,30,95,478,791
2005,1,2,12,30,91,493,812
2005,1,2,13,30,97,441,755
2005,1,2,14,30,85,342,694
2005,1,2,15,30,65,202,565
2005,1,2,16,30,32,52,237
2005,1,2,17,30,0,0,0
2005,1,2,18,30,0,0,0
2005,1,2,19,30,0,0,0
2005,1,2,20,30,0,0,0
2005,1,2,21,30,0,0,0
2005,1,2,22,30,0,0,0
2005,1,2,23,30,0,0,0
2005,1,3,0,30,0,0,0
2005,1,3,1,30,0,0,0
2005,1,3,2,30,0,0,0
2005,1,3,3,30,0,0,0
2005,1,3,4,30,0,0,0
2005,1,3,5,30,0,0,0
2005,1,3,6,30,0,0,0
2005,1,3,7,30,0,0,0
2005,1,3,8,30,42,152,613
2005,1,3,9,30,57,311,791
2005,1,3,10,30,67,434,861
2005,1,3,11,30,69,508,903
2005,1,3,12,30,68,519,907
2005,1,3,13,30,71,469,868
2005,1,3,14,30,65,364,803
2005,1,3,15,30,54,217,668
2005,1,3,16,30,28,59,353
2005,1,3,17,30,0,0,0
2005,1,3,18,30,0,0,0
2005,1,3,19,30,0,0,0
2005,1,3,20,30,0,0,0
2005,1,3,21,30,0,0,0
2005,1,3,22,30,0,0,0
2005,1,3,23,30,0,0,0
2005,1,4,0,30,0,0,0
2005,1,4,1,30,0,0,0
2005,1,4,2,30,0,0,0
2005,1,4,3,30,0,0,0
