Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,143195,-,-,-,37.37,-122.02,-8,33,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky GHI,Clearsky DNI
2013,1,1,0,30,0,0,0
2013,1,1,1,30,0,0,0
2013,1,1,2,30,0,0,0
2013,1,1,3,30,0,0,0
2013,1,1,4,30,0,0,0
2013,1,1,5,30,0,0,0
2013,1,1,6,30,0,0,0
2013,1,1,7,30,0,0,0
2013,1,1,8,30,50,144,522
2013,1,1,9,30,65,304,744
2013,1,1,10,30,67,431,858
2013,1,1,11,30,70,503,897
2013,1,1,12,30,70,516,905
2013,1,1,13,30,70,469,880
2013,1,1,14,30,63,365,821
2013,1,1,15,30,51,219,697
2013,1,1,16,30,27,58,387
2013,1,1,17,30,0,0,0
2013,1,1,18,30,0,0,0
2013,1,1,19,30,0,0,0
2013,1,1,20,30,0,0,0
2013,1,1,21,30,0,0,0
2013,1,1,22,30,0,0,0
2013,1,1,23,30,0,0,0
2013,1,2,0,30,0,0,0
2013,1,2,1,30,0,0,0
2013,1,2,2,30,0,0,0
2013,1,2,3,30,0,0,0
2013,1,2,4,30,0,0,0
2013,1,2,5,30,0,0,0
2013,1,2,6,30,0,0,0
2013,1,2,7,30,0,0,0
2013,1,2,8,30,42,159,651
2013,1,2,9,30,57,321,823
2013,1,2,10,30,63,448,906
2013,1,2,11,30,66,522,941
2013,1,2,12,30,67,531,938
2013,1,2,13,30,64,483,918
2013,1,2,14,30,59,381,871
2013,1,2,15,30,48,230,750
2013,1,2,16,30,26,64,448
2013,1,2,17,30,0,0,0
2013,1,2,18,30,0,0,0
2013,1,2,19,30,0,0,0
2013,1,2,20,30,0,0,0
2013,1,2,21,30,0,0,0
2013,1,2,22,30,0,0,0
2013,1,2,23,30,0,0,0
2013,1,3,0,30,0,0,0
2013,1,3,1,30,0,0,0
2013,1,3,2,30,0,0,0
2013,1,3,3,30,0,0,0
2013,1,3,4,30,0,0,0
2013,1,3,5,30,0,0,0
2013,1,3,6,30,0,0,0
2013,1,3,7,30,0,0,0
2013,1,3,8,30,43,155,621
2013,1,3,9,30,60,315,792
2013,1,3,10,30,70,437,861
2013,1,3,11,30,74,507,891
2013,1,3,12,30,77,517,887
2013,1,3,13,30,73,470,867
2013,1,3,14,30,67,366,806
2013,1,3,15,30,53,220,682
2013,1,3,16,30,28,60,367
2013,1,3,17,30,0,0,0
2013,1,3,18,30,0,0,0
2013,1,3,19,30,0,0,0
2013,1,3,20,30,0,0,0
2013,1,3,21,30,0,0,0
2013,1,3,22,30,0,0,0
2013,1,3,23,30,0,0,0
2013,1,4,0,30,0,0,0
2013,1,4,1,30,0,0,0
2013,1,4,2,30,0,0,0
2013,1,4,3,30,0,0,0
2013,1,4,4,30,0,0,0
2013,1,4,5,30,0,0,0
2013,1,4,6,30,0,0,0
2013,1,4,7,30,0,0,0
2013,1,4,8,30,47,146,555
2013,1,4,9,30,66,302,730
2013,1,4,10,30,71,428,836
2013,1,4,11,30,75,500,872
2013,1,4,12,30,76,514,880
2013,1,4,13,30,71,467,860
2013,1,4,14,30,64,365,803
2013,1,4,15,30,52,220,679
2013,1,4,16,30,27,62,390
2013,1,4,17,30,0,0,0
2013,1,4,18,30,0,0,0
2013,1,4,19,30,0,0,0
2013,1,4,20,30,0,0,0
2013,1,4,21,30,0,0,0
2013,1,4,22,30,0,0,0
2013,1,4,23,30,0,0,0
2013,1,5,0,30,0,0,0
2013,1,5,1,30,0,0,0
2013,1,5,2,30,0,0,0
2013,1,5,3,30,0,0,0
2013,1,5,4,30,0,0,0
2013,1,5,5,30,0,0,0
2013,1,5,6,30,0,0,0
2013,1,5,7,30,0,0,0
2013,1,5,8,30,45,150,582
2013,1,5,9,30,64,307,752
2013,1,5,10,30,82,424,799
2013,1,5,11,30,84,496,842
2013,1,5,12,30,82,506,846
2013,1,5,13,30,74,459,833
2013,1,5,14,30,68,356,765
2013,1,5,15,30,55,214,636
2013,1,5,16,30,30,60,335
2013,1,5,17,30,0,0,0
2013,1,5,18,30,0,0,0
2013,1,5,19,30,0,0,0
2013,1,5,20,30,0,0,0
2013,1,5,21,30,0,0,0
2013,1,5,22,30,0,0,0
2013,1,5,23,30,0,0,0
2013,1,6,0,30,0,0,0
2013,1,6,1,30,0,0,0
2013,1,6,2,30,0,0,0
2013,1,6,3,30,0,0,0
2013,1,6,4,30,0,0,0
2013,1,6,5,30,0,0,0
2013,1,6,6,30,0,0,0
2013,1,6,7,30,0,0,0
2013,1,6,8,30,63,134,393
2013,1,6,9,30,92,285,595
2013,1,6,10,30,98,410,726
2013,1,6,11,30,103,484,777
2013,1,6,12,30,98,501,802
2013,1,6,13,30,89,460,799
2013,1,6,14,30,81,361,740
2013,1,6,15,30,64,218,611
2013,1,6,16,30,33,63,311
2013,1,6,17,30,0,0,0
2013,1,6,18,30,0,0,0
2013,1,6,19,30,0,0,0
2013,1,6,20,30,0,0,0
2013,1,6,21,30,0,0,0
2013,1,6,22,30,0,0,0
2013,1,6,23,30,0,0,0
2013,1,7,0,30,0,0,0
2013,1,7,1,30,0,0,0
2013,1,7,2,30,0,0,0
2013,1,7,3,30,0,0,0
2013,1,7,4,30,0,0,0
2013,1,7,5,30,0,0,0
2013,1,7,6,30,0,0,0
2013,1,7,7,30,0,0,0
2013,1,7,8,30,44,147,568
2013,1,7,9,30,59,303,751
2013,1,7,10,30,69,426,828
2013,1,7,11,30,76,499,860
2013,1,7,12,30,77,513,865
2013,1,7,13,30,76,467,838
2013,1,7,14,30,70,365,774
2013,1,7,15,30,57,222,645
2013,1,7,16,30,31,65,352
2013,1,7,17,30,0,0,0
2013,1,7,18,30,0,0,0
2013,1,7,19,30,0,0,0
2013,1,7,20,30,0,0,0
2013,1,7,21,30,0,0,0
2013,1,7,22,30,0,0,0
2013,1,7,23,30,0,0,0
2013,1,8,0,30,0,0,0
2013,1,8,1,30,0,0,0
2013,1,8,2,30,0,0,0
2013,1,8,3,30,0,0,0
2013,1,8,4,30,0,0,0
2013,1,8,5,30,0,0,0
2013,1,8,6,30,0,0,0
2013,1,8,7,30,0,0,0
2013,1,8,8,30,43,153,606
2013,1,8,9,30,59,313,780
2013,1,8,10,30,66,439,861
2013,1,8,11,30,71,513,895
2013,1,8,12,30,71,529,903
2013,1,8,13,30,72,482,872
2013,1,8,14,30,67,381,818
2013,1,8,15,30,55,235,698
2013,1,8,16,30,31,72,409
2013,1,8,17,30,0,0,0
2013,1,8,18,30,0,0,0
2013,1,8,19,30,0,0,0
2013,1,8,20,30,0,0,0
2013,1,8,21,30,0,0,0
2013,1,8,22,30,0,0,0
2013,1,8,23,30,0,0,0
2013,1,9,0,30,0,0,0
2013,1,9,1,30,0,0,0
2013,1,9,2,30,0,0,0
2013,1,9,3,30,0,0,0
2013,1,9,4,30,0,0,0
2013,1,9,5,30,0,0,0
2013,1,9,6,30,0,0,0
2013,1,9,7,30,0,0,0
2013,1,9,8,30,52,145,507
2013,1,9,9,30,74,301,693
2013,1,9,10,30,86,424,779
2013,1,9,11,30,94,496,810
2013,1,9,12,30,98,508,807
2013,1,9,13,30,101,459,760
2013,1,9,14,30,93,360,689
2013,1,9,15,30,74,219,555
2013,1,9,16,30,38,67,283
2013,1,9,17,30,0,0,0
2013,1,9,18,30,0,0,0
2013,1,9,19,30,0,0,0
2013,1,9,20,30,0,0,0
2013,1,9,21,30,0,0,0
2013,1,9,22,30,0,0,0
2013,1,9,23,30,0,0,0
2013,1,10,0,30,0,0,0
2013,1,10,1,30,0,0,0
2013,1,10,2,30,0,0,0
2013,1,10,3,30,0,0,0
2013,1,10,4,30,0,0,0
2013,1,10,5,30,0,0,0
2013,1,10,6,30,0,0,0
2013,1,10,7,30,0,0,0
2013,1,10,8,30,49,151,558
2013,1,10,9,30,67,313,751
2013,1,10,10,30,73,443,852
2013,1,10,11,30,76,520,892
2013,1,10,12,30,75,537,904
2013,1,10,13,30,69,493,894
2013,1,10,14,30,63,394,849
2013,1,10,15,30,51,246,739
2013,1,10,16,30,29,81,485
2013,1,10,17,30,0,0,0
2013,1,10,18,30,0,0,0
2013,1,10,19,30,0,0,0
2013,1,10,20,30,0,0,0
2013,1,10,21,30,0,0,0
2013,1,10,22,30,0,0,0
2013,1,10,23,30,0,0,0
2013,1,11,0,30,0,0,0
2013,1,11,1,30,0,0,0
2013,1,11,2,30,0,0,0
2013,1,11,3,30,0,0,0
2013,1,11,4,30,0,0,0
2013,1,11,5,30,0,0,0
2013,1,11,6,30,0,0,0
2013,1,11,7,30,0,0,0
2013,1,11,8,30,45,155,593
2013,1,11,9,30,62,315,768
2013,1,11,10,30,69,441,853
2013,1,11,11,30,76,516,881
2013,1,11,12,30,82,529,871
2013,1,11,13,30,81,484,844
2013,1,11,14,30,76,382,777
2013,1,11,15,30,64,236,646
2013,1,11,16,30,38,75,343
2013,1,11,17,30,0,0,0
2013,1,11,18,30,0,0,0
2013,1,11,19,30,0,0,0
2013,1,11,20,30,0,0,0
2013,1,11,21,30,0,0,0
2013,1,11,22,30,0,0,0
2013,1,11,23,30,0,0,0
2013,1,12,0,30,0,0,0
2013,1,12,1,30,0,0,0
2013,1,12,2,30,0,0,0
2013,1,12,3,30,0,0,0
2013,1,12,4,30,0,0,0
2013,1,12,5,30,0,0,0
2013,1,12,6,30,0,0,0
2013,1,12,7,30,0,0,0
2013,1,12,8,30,40,166,679
2013,1,12,9,30,53,333,848
