Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,143195,-,-,-,37.37,-122.02,-8,33,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky GHI,Clearsky DNI
2014,1,1,0,30,0,0,0
2014,1,1,1,30,0,0,0
2014,1,1,2,30,0,0,0
2014,1,1,3,30,0,0,0
2014,1,1,4,30,0,0,0
2014,1,1,5,30,0,0,0
2014,1,1,6,30,0,0,0
2014,1,1,7,30,0,0,0
2014,1,1,8,30,43,149,592
2014,1,1,9,30,59,304,765
2014,1,1,10,30,69,424,838
2014,1,1,11,30,74,494,870
2014,1,1,12,30,75,506,874
2014,1,1,13,30,74,457,843
2014,1,1,14,30,68,354,779
2014,1,1,15,30,54,210,653
2014,1,1,16,30,26,55,349
2014,1,1,17,30,0,0,0
2014,1,1,18,30,0,0,0
2014,1,1,19,30,0,0,0
2014,1,1,20,30,0,0,0
2014,1,1,21,30,0,0,0
2014,1,1,22,30,0,0,0
2014,1,1,23,30,0,0,0
2014,1,2,0,30,0,0,0
2014,1,2,1,30,0,0,0
2014,1,2,2,30,0,0,0
2014,1,2,3,30,0,0,0
2014,1,2,4,30,0,0,0
2014,1,2,5,30,0,0,0
2014,1,2,6,30,0,0,0
2014,1,2,7,30,0,0,0
2014,1,2,8,30,42,149,591
2014,1,2,9,30,58,304,766
2014,1,2,10,30,65,425,846
2014,1,2,11,30,69,496,881
2014,1,2,12,30,70,508,885
2014,1,2,13,30,70,459,854
2014,1,2,14,30,63,356,794
2014,1,2,15,30,50,212,669
2014,1,2,16,30,26,57,371
2014,1,2,17,30,0,0,0
2014,1,2,18,30,0,0,0
2014,1,2,19,30,0,0,0
2014,1,2,20,30,0,0,0
2014,1,2,21,30,0,0,0
2014,1,2,22,30,0,0,0
2014,1,2,23,30,0,0,0
2014,1,3,0,30,0,0,0
2014,1,3,1,30,0,0,0
2014,1,3,2,30,0,0,0
2014,1,3,3,30,0,0,0
2014,1,3,4,30,0,0,0
2014,1,3,5,30,0,0,0
2014,1,3,6,30,0,0,0
2014,1,3,7,30,0,0,0
2014,1,3,8,30,41,148,591
2014,1,3,9,30,57,302,761
2014,1,3,10,30,65,423,840
2014,1,3,11,30,70,494,874
2014,1,3,12,30,70,508,883
2014,1,3,13,30,67,462,863
2014,1,3,14,30,61,361,808
2014,1,3,15,30,49,217,689
2014,1,3,16,30,25,60,400
2014,1,3,17,30,0,0,0
2014,1,3,18,30,0,0,0
2014,1,3,19,30,0,0,0
2014,1,3,20,30,0,0,0
2014,1,3,21,30,0,0,0
2014,1,3,22,30,0,0,0
2014,1,3,23,30,0,0,0
2014,1,4,0,30,0,0,0
2014,1,4,1,30,0,0,0
2014,1,4,2,30,0,0,0
2014,1,4,3,30,0,0,0
2014,1,4,4,30,0,0,0
2014,1,4,5,30,0,0,0
2014,1,4,6,30,0,0,0
2014,1,4,7,30,0,0,0
2014,1,4,8,30,40,150,610
2014,1,4,9,30,56,307,781
2014,1,4,10,30,62,431,863
2014,1,4,11,30,66,505,901
2014,1,4,12,30,67,519,907
2014,1,4,13,30,66,473,887
2014,1,4,14,30,59,373,839
2014,1,4,15,30,47,227,727
2014,1,4,16,30,25,66,463
2014,1,4,17,30,0,0,0
2014,1,4,18,30,0,0,0
2014,1,4,19,30,0,0,0
2014,1,4,20,30,0,0,0
2014,1,4,21,30,0,0,0
2014,1,4,22,30,0,0,0
2014,1,4,23,30,0,0,0
2014,1,5,0,30,0,0,0
2014,1,5,1,30,0,0,0
2014,1,5,2,30,0,0,0
2014,1,5,3,30,0,0,0
2014,1,5,4,30,0,0,0
2014,1,5,5,30,0,0,0
2014,1,5,6,30,0,0,0
2014,1,5,7,30,0,0,0
2014,1,5,8,30,39,158,659
2014,1,5,9,30,54,319,822
2014,1,5,10,30,60,443,893
2014,1,5,11,30,64,517,927
2014,1,5,12,30,65,531,932
2014,1,5,13,30,63,484,912
2014,1,5,14,30,58,380,858
2014,1,5,15,30,47,233,744
2014,1,5,16,30,26,68,466
2014,1,5,17,30,0,0,0
2014,1,5,18,30,0,0,0
2014,1,5,19,30,0,0,0
2014,1,5,20,30,0,0,0
2014,1,5,21,30,0,0,0
2014,1,5,22,30,0,0,0
2014,1,5,23,30,0,0,0
2014,1,6,0,30,0,0,0
2014,1,6,1,30,0,0,0
2014,1,6,2,30,0,0,0
2014,1,6,3,30,0,0,0
2014,1,6,4,30,0,0,0
2014,1,6,5,30,0,0,0
2014,1,6,6,30,0,0,0
2014,1,6,7,30,0,0,0
2014,1,6,8,30,44,152,595
2014,1,6,9,30,62,311,770
2014,1,6,10,30,70,436,854
2014,1,6,11,30,75,508,883
2014,1,6,12,30,79,519,876
2014,1,6,13,30,71,472,864
2014,1,6,14,30,63,371,812
2014,1,6,15,30,51,226,694
2014,1,6,16,30,27,67,419
2014,1,6,17,30,0,0,0
2014,1,6,18,30,0,0,0
2014,1,6,19,30,0,0,0
2014,1,6,20,30,0,0,0
2014,1,6,21,30,0,0,0
2014,1,6,22,30,0,0,0
2014,1,6,23,30,0,0,0
2014,1,7,0,30,0,0,0
2014,1,7,1,30,0,0,0
2014,1,7,2,30,0,0,0
2014,1,7,3,30,0,0,0
2014,1,7,4,30,0,0,0
2014,1,7,5,30,0,0,0
2014,1,7,6,30,0,0,0
2014,1,7,7,30,0,0,0
2014,1,7,8,30,42,151,601
2014,1,7,9,30,58,309,773
2014,1,7,10,30,74,428,823
2014,1,7,11,30,80,500,855
2014,1,7,12,30,81,514,859
2014,1,7,13,30,79,469,837
2014,1,7,14,30,71,367,776
2014,1,7,15,30,57,224,654
2014,1,7,16,30,30,66,370
2014,1,7,17,30,0,0,0
2014,1,7,18,30,0,0,0
2014,1,7,19,30,0,0,0
2014,1,7,20,30,0,0,0
2014,1,7,21,30,0,0,0
2014,1,7,22,30,0,0,0
2014,1,7,23,30,0,0,0
2014,1,8,0,30,0,0,0
2014,1,8,1,30,0,0,0
2014,1,8,2,30,0,0,0
2014,1,8,3,30,0,0,0
2014,1,8,4,30,0,0,0
2014,1,8,5,30,0,0,0
2014,1,8,6,30,0,0,0
2014,1,8,7,30,0,0,0
2014,1,8,8,30,45,148,570
2014,1,8,9,30,61,304,747
2014,1,8,10,30,74,426,816
2014,1,8,11,30,79,497,849
2014,1,8,12,30,80,512,854
2014,1,8,13,30,87,461,797
2014,1,8,14,30,80,362,734
2014,1,8,15,30,64,221,610
2014,1,8,16,30,34,67,333
2014,1,8,17,30,0,0,0
2014,1,8,18,30,0,0,0
2014,1,8,19,30,0,0,0
2014,1,8,20,30,0,0,0
2014,1,8,21,30,0,0,0
2014,1,8,22,30,0,0,0
2014,1,8,23,30,0,0,0
2014,1,9,0,30,0,0,0
2014,1,9,1,30,0,0,0
2014,1,9,2,30,0,0,0
2014,1,9,3,30,0,0,0
2014,1,9,4,30,0,0,0
2014,1,9,5,30,0,0,0
2014,1,9,6,30,0,0,0
2014,1,9,7,30,0,0,0
2014,1,9,8,30,46,145,542
2014,1,9,9,30,60,303,743
2014,1,9,10,30,65,429,840
2014,1,9,11,30,68,503,877
2014,1,9,12,30,71,518,879
2014,1,9,13,30,69,473,859
2014,1,9,14,30,63,375,806
2014,1,9,15,30,52,232,691
2014,1,9,16,30,30,71,401
2014,1,9,17,30,0,0,0
2014,1,9,18,30,0,0,0
2014,1,9,19,30,0,0,0
2014,1,9,20,30,0,0,0
2014,1,9,21,30,0,0,0
2014,1,9,22,30,0,0,0
2014,1,9,23,30,0,0,0
2014,1,10,0,30,0,0,0
2014,1,10,1,30,0,0,0
2014,1,10,2,30,0,0,0
2014,1,10,3,30,0,0,0
2014,1,10,4,30,0,0,0
2014,1,10,5,30,0,0,0
2014,1,10,6,30,0,0,0
2014,1,10,7,30,0,0,0
2014,1,10,8,30,44,147,563
2014,1,10,9,30,60,305,749
2014,1,10,10,30,71,428,819
