Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,143195,-,-,-,37.37,-122.02,-8,33,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky GHI,Clearsky DNI
2011,1,1,0,30,0,0,0
2011,1,1,1,30,0,0,0
2011,1,1,2,30,0,0,0
2011,1,1,3,30,0,0,0
2011,1,1,4,30,0,0,0
2011,1,1,5,30,0,0,0
2011,1,1,6,30,0,0,0
2011,1,1,7,30,0,0,0
2011,1,1,8,30,51,142,507
2011,1,1,9,30,71,293,691
2011,1,1,10,30,92,406,740
2011,1,1,11,30,100,474,773
2011,1,1,12,30,103,483,771
2011,1,1,13,30,105,435,729
2011,1,1,14,30,89,337,676
2011,1,1,15,30,65,199,561
2011,1,1,16,30,30,50,245
2011,1,1,17,30,0,0,0
2011,1,1,18,30,0,0,0
2011,1,1,19,30,0,0,0
2011,1,1,20,30,0,0,0
2011,1,1,21,30,0,0,0
2011,1,1,22,30,0,0,0
2011,1,1,23,30,0,0,0
2011,1,2,0,30,0,0,0
2011,1,2,1,30,0,0,0
2011,1,2,2,30,0,0,0
2011,1,2,3,30,0,0,0
2011,1,2,4,30,0,0,0
2011,1,2,5,30,0,0,0
2011,1,2,6,30,0,0,0
2011,1,2,7,30,0,0,0
2011,1,2,8,30,53,139,478
2011,1,2,9,30,76,289,665
2011,1,2,10,30,88,409,756
2011,1,2,11,30,95,478,792
2011,1,2,12,30,93,493,809
2011,1,2,13,30,88,447,789
2011,1,2,14,30,81,345,717
2011,1,2,15,30,64,203,574
2011,1,2,16,30,31,52,250
2011,1,2,17,30,0,0,0
2011,1,2,18,30,0,0,0
2011,1,2,19,30,0,0,0
2011,1,2,20,30,0,0,0
2011,1,2,21,30,0,0,0
2011,1,2,22,30,0,0,0
2011,1,2,23,30,0,0,0
2011,1,3,0,30,0,0,0
2011,1,3,1,30,0,0,0
2011,1,3,2,30,0,0,0
2011,1,3,3,30,0,0,0
2011,1,3,4,30,0,0,0
2011,1,3,5,30,0,0,0
2011,1,3,6,30,0,0,0
2011,1,3,7,30,0,0,0
2011,1,3,8,30,51,142,504
2011,1,3,9,30,71,297,701
2011,1,3,10,30,76,421,810
2011,1,3,11,30,82,492,846
2011,1,3,12,30,85,504,846
2011,1,3,13,30,81,457,822
2011,1,3,14,30,75,355,755
2011,1,3,15,30,60,212,624
2011,1,3,16,30,29,58,331
2011,1,3,17,30,0,0,0
2011,1,3,18,30,0,0,0
2011,1,3,19,30,0,0,0
2011,1,3,20,30,0,0,0
2011,1,3,21,30,0,0,0
2011,1,3,22,30,0,0,0
2011,1,3,23,30,0,0,0
2011,1,4,0,30,0,0,0
2011,1,4,1,30,0,0,0
2011,1,4,2,30,0,0,0
2011,1,4,3,30,0,0,0
2011,1,4,4,30,0,0,0
2011,1,4,5,30,0,0,0
2011,1,4,6,30,0,0,0
2011,1,4,7,30,0,0,0
2011,1,4,8,30,44,153,607
2011,1,4,9,30,60,311,780
2011,1,4,10,30,69,436,861
2011,1,4,11,30,74,509,895
2011,1,4,12,30,74,523,901
2011,1,4,13,30,71,475,881
2011,1,4,14,30,65,371,823
2011,1,4,15,30,52,225,701
2011,1,4,16,30,27,63,414
2011,1,4,17,30,0,0,0
2011,1,4,18,30,0,0,0
2011,1,4,19,30,0,0,0
2011,1,4,20,30,0,0,0
2011,1,4,21,30,0,0,0
2011,1,4,22,30,0,0,0
