Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,143195,-,-,-,37.37,-122.02,-8,33,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky GHI,Clearsky DNI
1999,1,1,0,30,0,0,0
1999,1,1,1,30,0,0,0
1999,1,1,2,30,0,0,0
1999,1,1,3,30,0,0,0
1999,1,1,4,30,0,0,0
1999,1,1,5,30,0,0,0
1999,1,1,6,30,0,0,0
1999,1,1,7,30,0,0,0
1999,1,1,8,30,37,158,672
1999,1,1,9,30,49,316,832
1999,1,1,10,30,55,442,912
1999,1,1,11,30,57,514,945
1999,1,1,12,30,57,526,950
1999,1,1,13,30,56,480,937
1999,1,1,14,30,51,375,884
1999,1,1,15,30,42,226,771
1999,1,1,16,30,23,62,484
1999,1,1,17,30,0,0,0
1999,1,1,18,30,0,0,0
1999,1,1,19,30,0,0,0
1999,1,1,20,30,0,0,0
1999,1,1,21,30,0,0,0
1999,1,1,22,30,0,0,0
1999,1,1,23,30,0,0,0
1999,1,2,0,30,0,0,0
1999,1,2,1,30,0,0,0
1999,1,2,2,30,0,0,0
1999,1,2,3,30,0,0,0
1999,1,2,4,30,0,0,0
1999,1,2,5,30,0,0,0
1999,1,2,6,30,0,0,0
1999,1,2,7,30,0,0,0
1999,1,2,8,30,37,159,683
1999,1,2,9,30,48,319,844
1999,1,2,10,30,52,443,918
1999,1,2,11,30,55,512,944
1999,1,2,12,30,56,524,948
1999,1,2,13,30,55,474,922
1999,1,2,14,30,51,371,868
1999,1,2,15,30,42,222,749
1999,1,2,16,30,23,62,470
1999,1,2,17,30,0,0,0
1999,1,2,18,30,0,0,0
1999,1,2,19,30,0,0,0
1999,1,2,20,30,0,0,0
1999,1,2,21,30,0,0,0
1999,1,2,22,30,0,0,0
1999,1,2,23,30,0,0,0
1999,1,3,0,30,0,0,0
1999,1,3,1,30,0,0,0
1999,1,3,2,30,0,0,0
1999,1,3,3,30,0,0,0
1999,1,3,4,30,0,0,0
1999,1,3,5,30,0,0,0
1999,1,3,6,30,0,0,0
1999,1,3,7,30,0,0,0
1999,1,3,8,30,38,165,706
1999,1,3,9,30,50,328,866
1999,1,3,10,30,56,455,937
1999,1,3,11,30,60,524,958
1999,1,3,12,30,62,538,960
1999,1,3,13,30,61,489,937
1999,1,3,14,30,58,380,871
1999,1,3,15,30,48,230,751
1999,1,3,16,30,26,65,461
1999,1,3,17,30,0,0,0
1999,1,3,18,30,0,0,0
1999,1,3,19,30,0,0,0
1999,1,3,20,30,0,0,0
1999,1,3,21,30,0,0,0
1999,1,3,22,30,0,0,0
1999,1,3,23,30,0,0,0
1999,1,4,0,30,0,0,0
1999,1,4,1,30,0,0,0
1999,1,4,2,30,0,0,0
1999,1,4,3,30,0,0,0
1999,1,4,4,30,0,0,0
1999,1,4,5,30,0,0,0
1999,1,4,6,30,0,0,0
1999,1,4,7,30,0,0,0
1999,1,4,8,30,44,160,645
1999,1,4,9,30,60,323,819
1999,1,4,10,30,68,451,898
1999,1,4,11,30,72,526,933
1999,1,4,12,30,72,539,939
1999,1,4,13,30,69,491,920
1999,1,4,14,30,62,385,867
1999,1,4,15,30,51,235,750
1999,1,4,16,30,31,64,373
1999,1,4,17,30,0,0,0
1999,1,4,18,30,0,0,0
1999,1,4,19,30,0,0,0
1999,1,4,20,30,0,0,0
1999,1,4,21,30,0,0,0
1999,1,4,22,30,0,0,0
1999,1,4,23,30,0,0,0
1999,1,5,0,30,0,0,0
1999,1,5,1,30,0,0,0
1999,1,5,2,30,0,0,0
1999,1,5,3,30,0,0,0
1999,1,5,4,30,0,0,0
1999,1,5,5,30,0,0,0
1999,1,5,6,30,0,0,0
1999,1,5,7,30,0,0,0
1999,1,5,8,30,42,163,675
1999,1,5,9,30,57,328,841
1999,1,5,10,30,64,457,918
1999,1,5,11,30,67,532,953
1999,1,5,12,30,68,546,959
1999,1,5,13,30,66,498,939
1999,1,5,14,30,61,388,873
1999,1,5,15,30,50,237,754
1999,1,5,16,30,28,70,471
1999,1,5,17,30,0,0,0
1999,1,5,18,30,0,0,0
1999,1,5,19,30,0,0,0
1999,1,5,20,30,0,0,0
1999,1,5,21,30,0,0,0
1999,1,5,22,30,0,0,0
1999,1,5,23,30,0,0,0
1999,1,6,0,30,0,0,0
1999,1,6,1,30,0,0,0
1999,1,6,2,30,0,0,0
1999,1,6,3,30,0,0,0
1999,1,6,4,30,0,0,0
1999,1,6,5,30,0,0,0
1999,1,6,6,30,0,0,0
1999,1,6,7,30,0,0,0
1999,1,6,8,30,42,158,642
1999,1,6,9,30,58,319,810
1999,1,6,10,30,67,446,884
1999,1,6,11,30,72,517,910
1999,1,6,12,30,72,532,918
1999,1,6,13,30,69,485,899
1999,1,6,14,30,61,382,848
1999,1,6,15,30,50,234,735
1999,1,6,16,30,27,70,455
1999,1,6,17,30,0,0,0
1999,1,6,18,30,0,0,0
1999,1,6,19,30,0,0,0
1999,1,6,20,30,0,0,0
1999,1,6,21,30,0,0,0
1999,1,6,22,30,0,0,0
1999,1,6,23,30,0,0,0
1999,1,7,0,30,0,0,0
1999,1,7,1,30,0,0,0
1999,1,7,2,30,0,0,0
1999,1,7,3,30,0,0,0
1999,1,7,4,30,0,0,0
1999,1,7,5,30,0,0,0
1999,1,7,6,30,0,0,0
1999,1,7,7,30,0,0,0
1999,1,7,8,30,48,148,556
1999,1,7,9,30,66,305,740
1999,1,7,10,30,77,430,820
1999,1,7,11,30,80,507,870
1999,1,7,12,30,77,525,889
1999,1,7,13,30,72,479,875
1999,1,7,14,30,65,379,825
1999,1,7,15,30,53,233,708
1999,1,7,16,30,29,70,428
1999,1,7,17,30,0,0,0
1999,1,7,18,30,0,0,0
1999,1,7,19,30,0,0,0
1999,1,7,20,30,0,0,0
1999,1,7,21,30,0,0,0
1999,1,7,22,30,0,0,0
1999,1,7,23,30,0,0,0
1999,1,8,0,30,0,0,0
1999,1,8,1,30,0,0,0
1999,1,8,2,30,0,0,0
1999,1,8,3,30,0,0,0
1999,1,8,4,30,0,0,0
1999,1,8,5,30,0,0,0
1999,1,8,6,30,0,0,0
1999,1,8,7,30,0,0,0
1999,1,8,8,30,38,164,696
1999,1,8,9,30,50,325,849
1999,1,8,10,30,55,453,923
1999,1,8,11,30,58,529,955
1999,1,8,12,30,60,544,960
1999,1,8,13,30,58,498,941
1999,1,8,14,30,54,394,890
1999,1,8,15,30,45,246,783
1999,1,8,16,30,26,78,524
1999,1,8,17,30,0,0,0
1999,1,8,18,30,0,0,0
1999,1,8,19,30,0,0,0
1999,1,8,20,30,0,0,0
1999,1,8,21,30,0,0,0
1999,1,8,22,30,0,0,0
