Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,143195,-,-,-,37.37,-122.02,-8,33,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,11,30,855,72,486,8.1,20,1026,69,61,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,12,30,857,73,497,8.1,20,1025,69,59,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,13,30,834,70,450,7.9,20,1024,69,54,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,14,30,772,65,350,8.200000000000000,20,1024,69,49,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,15,30,645,52,208,9.9,20,1024,69,51,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,16,30,342,28,57,9.8,20,1024,69,48,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,17,30,0,0,0,9.1,20,1024,69,53,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,18,30,0,0,0,9,20,1025,69,63,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,19,30,0,0,0,8.8,20,1025,69,74,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,20,30,0,0,0,8.700000000000000,20,1024,69,79,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,21,30,0,0,0,8.700000000000000,20,1024,69,83,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,22,30,0,0,0,8.700000000000000,20,1023,69,86,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,23,30,0,0,0,8.700000000000000,20,1023,69,88,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
